,Name,phenotype,reviewCount,topEffect,thc,subtitle
300,"Quantum,Kush",Sativa,253,Energetic,20.0,"Quantum,Purple"
301,"Lemon,Cherry,Gelato",Hybrid,252,Tingly,24.0,
302,"Lemon,Meringue",Sativa,251,Energetic,21.0,"Lemon,Meringue,Pie"
303,Ice,Hybrid,251,Focused,16.0,
304,"God's,Green,Crack",Hybrid,251,Energetic,15.0,"God's,Crack"
305,"Alien,Dawg",Hybrid,251,Sleepy,16.0,"Alien,Dog"
306,"THC,Bomb",Hybrid,250,Hungry,20.0,
307,"King,Tut",Sativa,250,Energetic,20.0,"Tutankhamon,,Pharaoh"
308,"Hell's,OG",Hybrid,248,Sleepy,22.0,"Hell,OG"
309,"Fucking,Incredible",Indica,248,Tingly,17.0,
310,"Kimbo,Kush",Hybrid,248,Sleepy,18.0,
311,"Lavender,Jones",Hybrid,247,Relaxed,22.0,"Purple,Jones"
312,Chemo,Indica,246,Sleepy,27.0,"UBC,Chemo,,Kemo"
313,"Pure,Power,Plant",Hybrid,246,Energetic,21.0,PPP
314,"Ice,Cream",Hybrid,245,Hungry,18.0,"Ice,Cream,Kush,,Ice,Cream,#1,,Ice,Cream,#3"
315,"Pineapple,Trainwreck",Hybrid,243,Talkative,17.0,"Pineapple,Wreck"
316,"Willy's,Wonder",Indica,243,Sleepy,19.0,"William's,Wonder,,Willys"
317,"Sugar,Cookie",Hybrid,242,Sleepy,22.0,
318,"SFV,OG,Kush",Indica,242,Sleepy,19.0,"San,Fernando,Valley,Kush,,SFV,OG,,SFV,,San,Fernando,Valley,OG"
319,Bio-Diesel,Hybrid,242,Energetic,19.0,Biodiesel
320,"Phantom,Cookies",Hybrid,240,Uplifted,20.0,"Phantom,Cookie"
321,"Scooby,Snacks",Hybrid,239,Relaxed,23.0,
322,"Kush,Mints",Hybrid,238,Relaxed,28.0,"Kush,Mintz"
323,"Lemon,G",Sativa,237,Uplifted,17.0,
324,"Red,Congolese",Sativa,237,Energetic,23.0,"Red,Congo"
325,"Tangerine,Haze",Hybrid,235,Energetic,17.0,
326,"Super,Blue,Dream",Hybrid,235,Talkative,17.0,
327,"Black,Tuna",Hybrid,234,Sleepy,,"Tuna,Black"
328,Nuken,Indica,233,Relaxed,26.0,
329,"Dutch,Hawaiian",Sativa,230,Uplifted,18.0,
330,"Strawberry,Cheesecake",Indica,230,Happy,16.0,
331,Gushers,Hybrid,229,Tingly,25.0,"White,Gushers,,White,Gusherz"
332,"Sour,Jack",Sativa,229,Energetic,16.0,
333,"Cherry,Diesel",Hybrid,226,Energetic,25.0,"Cherry,Turbo,Diesel"
334,"Lava,Cake",Hybrid,226,Relaxed,22.0,
335,"Sour,Banana,Sherbet",Hybrid,225,Happy,21.0,"Sour,Banana,Sherbert,,Banana,Sherbet,Kush"
336,"Lucky,Charms",Hybrid,223,Creative,23.0,
337,"Superman,OG",Indica,223,Sleepy,22.0,"Superman,Kush,,Scooperman"
338,"Hawaiian,Snow",Sativa,223,Energetic,16.0,
339,"Godfather,OG",Indica,221,Sleepy,19.0,"Godfather,,The,Don,of,All,OGs"
340,Tangerine,Hybrid,220,Energetic,14.0,
341,"Lemon,Drop",Hybrid,220,Giggly,16.0,
342,"Orange,Creamsicle",Hybrid,217,Uplifted,28.0,
343,"Mars,OG",Indica,216,Sleepy,17.0,
344,MTF,Sativa,215,Euphoric,17.0,"Matanuska,Thunder,Fuck,,Humble,Warrior"
345,"Pink,Runtz",Hybrid,215,Giggly,26.0,
346,"Lemon,Cake",Sativa,214,Energetic,17.0,
347,"Sour,Grape",Hybrid,214,Talkative,18.0,
348,"G13,Haze",Hybrid,214,Euphoric,21.0,
349,"Kosher,Tangie",Hybrid,213,Uplifted,21.0,
350,"Death,Star,OG",Indica,212,Sleepy,23.0,"Death,Star,OG,Kush"
351,Wappa,Hybrid,210,Relaxed,24.0,
352,"Super,Jack",Sativa,210,Energetic,20.0,"Super,Jack,Herer,,Super,Silver,Jack"
353,"Royal,Kush",Hybrid,208,Sleepy,17.0,
